date,league,game_id,away_team,away_score,home_team,home_score,winner,status
20230330,mlb,401471020,ATL,7,WSH,2,ATL,Final
20230330,mlb,401471030,SF,0,NYY,5,NYY,Final
20230330,mlb,401471021,BAL,10,BOS,9,BAL,Final
20230330,mlb,401471025,MIL,0,CHC,4,CHC,Final
20230330,mlb,401471024,DET,0,TB,4,TB,Final
20230330,mlb,401471028,PHI,7,TEX,11,TEX,Final
20230330,mlb,401471026,MIN,2,KC,0,MIN,Final
20230330,mlb,401471027,NYM,5,MIA,3,NYM,Final
20230330,mlb,401471029,PIT,5,CIN,4,PIT,Final
20230330,mlb,401471031,TOR,10,STL,9,TOR,Final
20230330,mlb,401471022,CHW,3,HOU,2,CHW,Final
20230330,mlb,401471032,COL,7,SD,2,COL,Final
20230330,mlb,401471018,LAA,1,ATH,2,ATH,Final
20230330,mlb,401471019,ARI,2,LAD,8,LAD,Final
20230330,mlb,401471023,CLE,0,SEA,3,SEA,Final
20230331,mlb,401471036,NYM,1,MIA,2,MIA,Final
20230331,mlb,401471034,CHW,3,HOU,6,HOU,Final
20230331,mlb,401471037,COL,4,SD,1,COL,Final
20230331,mlb,401471033,ARI,2,LAD,1,ARI,Final
20230331,mlb,401471035,CLE,9,SEA,4,CLE,Final
20230401,mlb,401471042,CHW,4,HOU,6,HOU,Final
20230401,mlb,401471051,TOR,1,STL,4,STL,Final
20230401,mlb,401471045,MIL,3,CHC,1,MIL,Final
20230401,mlb,401471040,ATL,7,WSH,1,ATL,Final
20230401,mlb,401471048,PHI,3,TEX,16,TEX,Final
20230401,mlb,401471050,SF,7,NYY,5,SF,Final
20230401,mlb,401471038,LAA,13,ATH,1,LAA,Final
20230401,mlb,401471041,BAL,8,BOS,9,BOS,Final
20230401,mlb,401471044,DET,2,TB,12,TB,Final
20230401,mlb,401471046,MIN,2,KC,0,MIN,Final
20230401,mlb,401471047,NYM,6,MIA,2,NYM,Final
20230401,mlb,401471049,PIT,2,CIN,6,CIN,Final
20230401,mlb,401471052,COL,4,SD,8,SD,Final
20230401,mlb,401471039,ARI,1,LAD,10,LAD,Final
20230401,mlb,401471043,CLE,2,SEA,0,CLE,Final
20230402,mlb,401471059,DET,1,TB,5,TB,Final
20230402,mlb,401471055,ATL,1,WSH,4,WSH,Final
20230402,mlb,401471056,BAL,5,BOS,9,BOS,Final
20230402,mlb,401471065,SF,0,NYY,6,NYY,Final
20230402,mlb,401471062,NYM,5,MIA,1,NYM,Final
20230402,mlb,401471064,PIT,1,CIN,3,CIN,Final
20230402,mlb,401471057,CHW,6,HOU,3,CHW,Final
20230402,mlb,401471061,MIN,7,KC,4,MIN,Final
20230402,mlb,401471066,TOR,4,STL,9,STL,Final
20230402,mlb,401471060,MIL,9,CHC,5,MIL,Final
20230402,mlb,401471053,LAA,6,ATH,0,LAA,Final
20230402,mlb,401471054,ARI,2,LAD,1,ARI,Final
20230402,mlb,401471058,CLE,6,SEA,5,CLE,Final/10
20230402,mlb,401471067,COL,1,SD,3,SD,Final
20230402,mlb,401471063,PHI,1,TEX,2,TEX,Final
20230403,mlb,401471076,NYM,0,MIL,10,MIL,Final
20230403,mlb,401471079,SF,12,CHW,3,SF,Final
20230403,mlb,401471071,CHC,6,CIN,7,CIN,Final
20230403,mlb,401471075,MIN,11,MIA,1,MIN,Final
20230403,mlb,401471077,PHI,1,NYY,8,NYY,Final
20230403,mlb,401471080,TB,6,WSH,2,TB,Final
20230403,mlb,401471078,PIT,7,BOS,6,PIT,Final
20230403,mlb,401471081,TOR,5,KC,9,KC,Final
20230403,mlb,401471069,ATL,8,STL,4,ATL,Final
20230403,mlb,401471070,BAL,2,TEX,0,BAL,Final
20230403,mlb,401471074,DET,7,HOU,6,DET,Final/11
20230403,mlb,401471068,LAA,7,SEA,3,LAA,Final
20230403,mlb,401471072,CLE,12,ATH,11,CLE,Final/10
20230403,mlb,401471082,ARI,4,SD,5,SD,Final
20230403,mlb,401471073,COL,4,LAD,13,LAD,Final
20230404,mlb,401471096,ARI,8,SD,6,ARI,Final
20230404,mlb,401471086,CHC,12,CIN,5,CHC,Final
20230404,mlb,401471090,MIN,0,MIA,1,MIA,Final
20230404,mlb,401471092,PHI,4,NYY,1,PHI,Final
20230404,mlb,401471094,TB,10,WSH,6,TB,Final
20230404,mlb,401471093,PIT,4,BOS,1,PIT,Final
20230404,mlb,401471091,NYM,0,MIL,9,MIL,Final
20230404,mlb,401471095,TOR,4,KC,1,TOR,Final
20230404,mlb,401471084,ATL,4,STL,1,ATL,Final
20230404,mlb,401471085,BAL,7,TEX,2,BAL,Final
20230404,mlb,401471089,DET,6,HOU,3,DET,Final
20230404,mlb,401471083,LAA,2,SEA,11,SEA,Final
20230404,mlb,401471087,CLE,3,ATH,4,ATH,Final
20230404,mlb,401471088,COL,2,LAD,5,LAD,Final
20230405,mlb,401471105,PHI,2,NYY,4,NYY,Final
20230405,mlb,401471108,TB,7,WSH,2,TB,Final
20230405,mlb,401471103,MIN,2,MIA,5,MIA,Final
20230405,mlb,401471098,ATL,5,STL,2,ATL,Final
20230405,mlb,401471106,PIT,4,BOS,1,PIT,Final
20230405,mlb,401471104,NYM,6,MIL,7,MIL,Final
20230405,mlb,401471099,BAL,2,TEX,5,TEX,Final
20230405,mlb,401471102,DET,2,HOU,8,HOU,Final
20230405,mlb,401471107,SF,3,CHW,7,CHW,Final
20230405,mlb,401471101,CLE,6,ATH,4,CLE,Final/10
20230405,mlb,401471097,LAA,4,SEA,3,LAA,Final
20230405,mlb,401471109,TOR,3,KC,0,TOR,Final
20230406,mlb,401471110,BOS,6,DET,3,BOS,Final
20230406,mlb,401471117,SF,16,CHW,6,SF,Final
20230406,mlb,401471118,TOR,6,KC,3,TOR,Final
20230406,mlb,401471119,WSH,0,COL,1,COL,Final
20230406,mlb,401471116,SD,6,ATL,7,ATL,Final
20230406,mlb,401471113,LAD,5,ARI,2,LAD,Final
20230407,mlb,401539436,MIA,3,NYM,9,NYM,Final
20230407,mlb,401471126,TEX,0,CHC,2,CHC,Final
20230407,mlb,401539392,NYY,6,BAL,7,BAL,Final
20230407,mlb,401539437,CIN,2,PHI,5,PHI,Final
20230407,mlb,401471124,SEA,5,CLE,3,SEA,Final
20230407,mlb,401539289,HOU,2,MIN,3,MIN,Final/10
20230407,mlb,401471128,CHW,9,PIT,13,PIT,Final
20230407,mlb,401471120,KC,3,SF,1,KC,Final
20230407,mlb,401471122,ATH,5,TB,9,TB,Final
20230407,mlb,401471123,SD,5,ATL,4,SD,Final
20230407,mlb,401471125,STL,0,MIL,4,MIL,Final
20230407,mlb,401471129,WSH,10,COL,5,WSH,Final
20230407,mlb,401471127,TOR,4,LAA,3,TOR,Final
20230407,mlb,401471121,LAD,3,ARI,6,ARI,Final
20230408,mlb,401471132,HOU,6,MIN,9,MIN,Final
20230408,mlb,401471131,CIN,2,PHI,3,PHI,Final
20230408,mlb,401471133,KC,6,SF,5,KC,Final
20230408,mlb,401471141,TEX,3,CHC,10,CHC,Final
20230408,mlb,401471130,BOS,14,DET,5,BOS,Final
20230408,mlb,401471135,MIA,2,NYM,5,NYM,Final
20230408,mlb,401471137,ATH,0,TB,11,TB,Final
20230408,mlb,401471139,SEA,3,CLE,2,SEA,Final
20230408,mlb,401471143,CHW,11,PIT,5,CHW,Final
20230408,mlb,401471136,NYY,4,BAL,1,NYY,Final
20230408,mlb,401471140,STL,6,MIL,0,STL,Final
20230408,mlb,401471138,SD,4,ATL,1,SD,Final
20230408,mlb,401471134,LAD,8,ARI,12,ARI,Final
20230408,mlb,401471144,WSH,7,COL,6,WSH,Final
20230408,mlb,401471142,TOR,5,LAA,9,LAA,Final
20230409,mlb,401471146,CIN,6,PHI,4,CIN,Final
20230409,mlb,401471145,BOS,4,DET,1,BOS,Final
20230409,mlb,401471152,ATH,0,TB,11,TB,Final
20230409,mlb,401471151,NYY,5,BAL,3,NYY,Final
20230409,mlb,401471158,CHW,0,PIT,1,PIT,Final
20230409,mlb,401471150,MIA,7,NYM,2,MIA,Final
20230409,mlb,401471154,SEA,6,CLE,7,CLE,Final/12
20230409,mlb,401471147,HOU,5,MIN,1,HOU,Final
20230409,mlb,401471155,STL,1,MIL,6,MIL,Final
20230409,mlb,401471156,TEX,8,CHC,2,TEX,Final
20230409,mlb,401471159,WSH,6,COL,7,COL,Final
20230409,mlb,401471148,KC,1,SF,3,SF,Final
20230409,mlb,401471157,TOR,12,LAA,11,TOR,Final/10
20230409,mlb,401471149,LAD,6,ARI,11,ARI,Final
20230409,mlb,401471153,SD,10,ATL,2,SD,Final
20230410,mlb,401471161,CHW,4,MIN,3,CHW,Final
20230410,mlb,401471167,NYY,2,CLE,3,CLE,Final
20230410,mlb,401471168,ATH,1,BAL,5,BAL,Final
20230410,mlb,401471172,HOU,8,PIT,2,HOU,Final
20230410,mlb,401471160,BOS,0,TB,1,TB,Final
20230410,mlb,401471165,MIA,3,PHI,15,PHI,Final
20230410,mlb,401471169,SD,0,NYM,5,NYM,Final
20230410,mlb,401471162,CIN,4,ATL,5,ATL,Final/10
20230410,mlb,401471170,SEA,2,CHC,3,CHC,Final/10
