date,league,game_id,away_team,away_score,home_team,home_score,winner,status
20190105,nfl,401038952,IND,21,HOU,7,IND,Final
20190105,nfl,401038953,SEA,22,DAL,24,DAL,Final
20190106,nfl,401038955,LAC,23,BAL,17,LAC,Final
20190106,nfl,401038954,PHI,16,CHI,15,PHI,Final
20190112,nfl,401038957,IND,13,KC,31,KC,Final
20190112,nfl,401038956,DAL,22,LAR,30,LAR,Final
20190113,nfl,401038959,LAC,28,NE,41,NE,Final
20190113,nfl,401038958,PHI,14,NO,20,NO,Final
20190120,nfl,401038118,LAR,26,NO,23,LAR,Final/OT
20190120,nfl,401038850,NE,37,KC,31,NE,Final/OT
20190203,nfl,401038115,NE,13,LAR,3,NE,Final
20190905,nfl,401127913,GB,10,CHI,3,GB,Final
20190908,nfl,401127928,TEN,43,CLE,13,TEN,Final
20190908,nfl,401127954,BAL,59,MIA,10,BAL,Final
20190908,nfl,401127961,ATL,12,MIN,28,MIN,Final
20190908,nfl,401127963,BUF,17,NYJ,16,BUF,Final
20190908,nfl,401127968,WSH,27,PHI,32,PHI,Final
20190908,nfl,401127923,LAR,30,CAR,27,LAR,Final
20190908,nfl,401127931,KC,40,JAX,26,KC,Final
20190908,nfl,401127972,IND,24,LAC,30,LAC,Final/OT
20190908,nfl,401127995,CIN,20,SEA,21,SEA,Final
20190908,nfl,401128007,NYG,17,DAL,35,DAL,Final
20190908,nfl,401127999,DET,27,ARI,27,,Final/OT
20190908,nfl,401128010,SF,31,TB,17,SF,Final
20190908,nfl,401127860,PIT,3,NE,33,NE,Final
20190909,nfl,401128021,HOU,28,NO,30,NO,Final
20190912,nfl,401128054,TB,20,CAR,14,TB,Final
20190915,nfl,401128066,SF,41,CIN,17,SF,Final
20190915,nfl,401128072,LAC,10,DET,13,DET,Final
20190915,nfl,401128098,MIN,16,GB,21,GB,Final
20190915,nfl,401128114,IND,19,TEN,17,IND,Final
20190915,nfl,401127862,NE,43,MIA,0,NE,Final
20190915,nfl,401128106,BUF,28,NYG,14,BUF,Final
20190915,nfl,401128110,SEA,28,PIT,26,SEA,Final
20190915,nfl,401128115,DAL,31,WSH,21,DAL,Final
20190915,nfl,401128061,ARI,17,BAL,23,BAL,Final
20190915,nfl,401128101,JAX,12,HOU,13,HOU,Final
20190915,nfl,401128120,CHI,16,DEN,14,CHI,Final
20190915,nfl,401128122,NO,9,LAR,27,LAR,Final
20190915,nfl,401128124,PHI,20,ATL,24,ATL,Final
20190916,nfl,401128127,CLE,23,NYJ,3,CLE,Final
20190919,nfl,401127859,TEN,7,JAX,20,JAX,Final
20190922,nfl,401127915,CIN,17,BUF,21,BUF,Final
20190922,nfl,401127921,MIA,6,DAL,31,DAL,Final
20190922,nfl,401127925,DEN,16,GB,27,GB,Final
20190922,nfl,401127929,ATL,24,IND,27,IND,Final
20190922,nfl,401127953,BAL,28,KC,33,KC,Final
20190922,nfl,401127861,NYJ,14,NE,30,NE,Final
20190922,nfl,401127959,DET,27,PHI,24,DET,Final
20190922,nfl,401127962,CAR,38,ARI,20,CAR,Final
20190922,nfl,401127966,NYG,32,TB,31,NYG,Final
20190922,nfl,401127970,HOU,27,LAC,20,HOU,Final
20190922,nfl,401127998,PIT,20,SF,24,SF,Final
20190922,nfl,401127993,NO,33,SEA,27,NO,Final
20190922,nfl,401128125,LAR,20,CLE,13,LAR,Final
20190923,nfl,401128003,CHI,31,WSH,15,CHI,Final
20190926,nfl,401127863,PHI,34,GB,27,PHI,Final
20190929,nfl,401128016,TEN,24,ATL,10,TEN,Final
20190929,nfl,401127866,NE,16,BUF,10,NE,Final
20190929,nfl,401128023,KC,34,DET,30,KC,Final
20190929,nfl,401128055,LAC,30,MIA,10,LAC,Final
20190929,nfl,401128059,WSH,3,NYG,24,NYG,Final
20190929,nfl,401128018,CLE,40,BAL,25,CLE,Final
20190929,nfl,401128026,CAR,16,HOU,10,CAR,Final
20190929,nfl,401128069,TB,55,LAR,40,TB,Final
