date,league,game_id,away_team,away_score,home_team,home_score,winner,status
20210113,nhl,401272093,PIT,3,PHI,6,PHI,Final
20210113,nhl,401272095,MTL,4,TOR,5,TOR,Final/OT
20210113,nhl,401272094,CHI,1,TB,5,TB,Final
20210113,nhl,401272096,VAN,5,EDM,3,VAN,Final
20210113,nhl,401272097,STL,4,COL,1,STL,Final
20210114,nhl,401272098,WSH,6,BUF,4,WSH,Final
20210114,nhl,401272099,BOS,3,NJ,2,BOS,Final/SO
20210114,nhl,401272100,NYI,4,NYR,0,NYI,Final
20210114,nhl,401272102,CAR,3,DET,0,CAR,Final
20210114,nhl,401272103,CBJ,1,NSH,3,NSH,Final
20210114,nhl,401272104,CGY,3,WPG,4,WPG,Final/OT
20210114,nhl,401272105,VAN,2,EDM,5,EDM,Final
20210114,nhl,401272107,ANA,2,VGK,5,VGK,Final
20210114,nhl,401272108,MIN,4,LA,3,MIN,Final/OT
20210115,nhl,401272109,WSH,2,BUF,1,WSH,Final
20210115,nhl,401272110,PIT,2,PHI,5,PHI,Final
20210115,nhl,401272111,CHI,2,TB,5,TB,Final
20210115,nhl,401272113,TOR,3,OTT,5,OTT,Final
20210115,nhl,401272114,STL,0,COL,8,COL,Final
20210116,nhl,401272115,BOS,1,NJ,2,NJ,Final/OT
20210116,nhl,401272116,NYI,0,NYR,5,NYR,Final
20210116,nhl,401272117,CAR,2,DET,4,DET,Final
20210116,nhl,401272119,TOR,3,OTT,2,TOR,Final
20210116,nhl,401272121,MTL,5,EDM,1,MTL,Final
20210116,nhl,401272118,CBJ,2,NSH,5,NSH,Final
20210116,nhl,401272124,MIN,4,LA,3,MIN,Final/OT
20210116,nhl,401272120,VAN,0,CGY,3,CGY,Final
20210116,nhl,401272123,ANA,1,VGK,2,VGK,Final/OT
20210117,nhl,401272127,WSH,3,PIT,4,PIT,Final/SO
20210117,nhl,401272126,CHI,2,FLA,5,FLA,Final
20210118,nhl,401272130,CBJ,3,DET,2,CBJ,Final
20210118,nhl,401272128,BOS,0,NYI,1,NYI,Final
20210118,nhl,401272133,WPG,1,TOR,3,TOR,Final
